,Tweets,class
42,  اي احترام يا الخنزيره والمجوس انتم من هدم حترام الدول والان ذوقو ما تذوقه الناس منكم يا خناز…  ,3
43, اللاجئون السوريون؟,0
44,والله لو بس تتركون بول البعير راح تصحون على نفسكم  ,0
45,معا لحماية أطفالنا من التحرش الجنسي  ,0
46, لإن التحرش وسيلة ردع للإناث عن أنهم يخرجوا عن سطوة وسيطرة الجنس الاعلي,2
47,مدينة بورنهايم بالـ المانيا تمنع اللاجئين العرب والمسلمين البالغين من دخول بركة السباحة العامة بعد تلقي شكاوي من نساء المانيات تم التحرش بهن,3
48,  بس يا شارب بول البعير يا عبد ال سلول,1
49,   هههعععععع اي علوم ههههه بول البعير,1
50,عيل وسخ هسقطك.  ,3
51,ناقشه بمعزل تاااااااام عن قضية التبرج,0
52,الظاهر الاخ برونطو بلش يشرب بول البعير يعني لو قلو قليل من الخمر يفرح القلب مقبولي بس انو اشرب ٢٤/٢٤ساعة اي بيو…  ,1
53,  بول البعير بيكون  أفتر ميل  ماي دارلينغ,3
54,  بدون شك بريئين منها. أنا ترى ما قلت سواقة حريم,3
55,  هي دي مشكلة كل خنازير البنا تعتقد ان الاخرين كلهم تابعين مثلهم للسمع والطاعة واقولها لأمثا…  ,1
56,   أوقف النقاش فوراً عندما تسمع بول البعير.. لأن أصحاب هذه الفكرة يرون أنك متخ…  ,0
57,  شنو اللواكه ياشاربي بول البعير يا اذناب الاستعمار يابقرة ترامب,2
58,  اووووه يممممااااه تصدق خوفتني يا خنزير,3
59,دي شكلها قالت كدي النعمل موضوع مع مواضيع الايام دي ..عايز افهم وين التحرش....ملفات من 2016  ,3
60,شغل الحريم هذا ماينفع مع الرجال #ادواردو_يرفض_شعار_الوطن,3
61,شوفو ليكم حاجة غير التحرش ده البن…  ,0
62,لو كان اللبس الضيق حريه شخصيه يبقا التحرش واجب وطني .......,3
63,ياعالم مقتل 16 في سجون ذيل الكلب تحت التعذيب في سوريا ويمكن فرحانين بالخبر  قسماً بالله لو لي من الامر شيء في هاذه…  ,3
64,بول البعير افقدكم الرجوله والنخوه والشهامه والغيره  ,3
65,ووووو الترشي ربحت ....اش باش يسكت بايرة و تخطبت,3
66,بعد أفواج من المهاجرين السريين الأفارقة..ترحيل قاصرين مشردين من طنجة إلى تيزنيت: إنها سابقة خطيرة من نوعها وقعت في…  ,0
67,مزال مسمعناش الصفارة يعني مكانش التحرش .,0
68,صحيح انت ونسوانك خدم عندنا ونشربكم بول البعير حسب كتبكم وفتوى معمميكم ياحمار تعلم دينك الرافضي بول البعير عقيده عند…  ,1
69,التحرش والشارع والمجال العام ما يكون آمن للنس…  ,0
70,صباح الخير ايها اللاجئون,0
71,  حرر بلدك يا خنزير,3
72,  خنزير اوبس,3
73,بإختصار أصبحوا خنازير بدياثتها و قذارتها و قبحها,3
74,  اولا يا استاذ احترم نفسك عشان اقدر أغلط عليك باوسخ الألفاظ ثانيا صفقاتك الاربعه لن تفيدك…  ,3
75,من كتر ما عقلي معاق ماسكه الماوس بدّي أعمل كوبي للنوتس إلي كتبتهم ع الدفتر و أخذهم بإيميل,0
76,عنايات اندى طبيب تركى يساعد الاف الافارقة على العلاج من امراض العيون,0
77, ولو مجلهاش عرسان تبقي بايرة ووحشة ومحدش بيبصلها أنة الشعب المصري ياسادة,0
78,يظل التحرش في نظر الانثي تحرشا,0
79,دعسس خنازير #الإسرائيلي #عزمي_حم…,3
80,ثانيا : إن كنت متبرجة فلا تحرضي البنات على الت…  ,3
81,  خنازير التحالف العربي,3
82,  اي والله كلاب خنازير ماينفع معهم الاالشبك اكرم الله المتابعين الشرفاء فقط,1
83,تخرج إلى الشارع متبرجة وتقول ( الإيمان بالقلب),3
84,لو كنت مشرعاً لجرمت التحرش . . ولكن كل ما كان زي الفتاة وسلوكها والظروف كان مشجعاً للتحرش . . كل ما كانت عقوبة المت…  ,2
85,يعني يلي بيشرب من بول البعير شو متوقع منو,2
86,"ويجونك أغلب النسويات يقولون سعاودة وسعاودة ، وكان التحرش وليد اللحظه وكانه لم ولن يكُن هناك متحرشين ومغتصبين الا با…  ",0
87,  والله التعوسي انطق طق من الحريم . احسن يستاهل البدو الكلب,3
88,     استغفر الله العظيم كاتب سبحان الله وتكلم كلام وسخ شن…  ,0
89,"الشعوب التي ترى حريتها في عبوديتها لا تستطيع اخراج قيادات لها، وانما تخرج خنازير ينهشونها بالاستعراض والتملق والتسحيج...",3
90,نصايح كيف تصيرين بايره وراميه نفسك على رجلك  ,3
91, مجموعت خنازير تنبح ليل نهار  اتفو عليكم ياعبادة المال,2
92,تبقاي بلا زواج لانو موش من اهدافك يقولو عليك بايرة ولا عاهرة !,3
93,  لا لا انت دتحجي بلغة البعران والبشر لا يفهمون البعير و بول البعير,2
94,بعدالودادوالنجمومازيمبي دورك يا حوريا#افريقيا_يا_اهلي,0
95,لا تصارع خنزير في الوحل..   فتتسخ أنت و يستمتع هو..,2
96,كما سبق وأكدنا القصاص عاجل وسريع فدماء أبناءنا اغلي وأطهر  من كل كنوز الدنيا_والتصفية هي المصير الحتمي لكل خنازير ا…  ,0
97,  لعنة الله عليك و علا اتباعك يا قريشي ياكلب يا شاربي بول البعير  يا عبيد امريكا  ,1
98,  لا هندوس,0
99, من اللي يقول المصاريا يحبون الفلوس واللبناني قذر والتركي شايف نفسه والسوداني عجاز والعراقي لسانه وسخ ؟,3
100, لاء دكر واغلط والى يغلط فى بنت اصلا موش راجل  فا اغلط بتقول كمية اللفاظ محسسنى الى رباك كان وسخ,3
101,ولا حد يدعي انه رجل ويجيب سيرة الحريم,2
102,   اكيد شارب بول البعير مبين من كلامك لان هذه القاذورات التي تتلفض بها اس…  ,1
103,محدش شهر بتاع الكبسة داه غيرنا احنا اللي عاملنا من شخصية واحنا اللي هندوس عليا,3
104,   هل تفكر بأن شرب بول البعير ليس بحلال وأنها نجسة ومكروهة ينفر منها الحيوان قب…  ,3
105,لاسف البنات بقوا بستغلوا الفهم التخلف دا لحاجات دينيه قطعيه ما فيها نقاش . ولو جينا لموضوع التحرش دا كوني. أكون محج…  ,1
106,والحريم مع الحريم ..  عناد شي ما صار  ..!!,3
107,   يبد انكم جميعا راضعين من خنزير واحد كلكم تشتمون نفس الشتيمه,3
108, من يشرب بول البعير لا يعرف كيف يستخدم قنابل #السعودية #اليمن,2
109,خنازير رافضيه نفقت .,3
110,في فرق بين انك تكون اوبن مايندد وانك ماكل لحم خنزير.,3
111, نعم وأسلافنا سلموا أمر دينهم ورسالته لمجموعة من الجهلة والمغفلين فساقوا البشرية إلى شرب بول البعير,0
112,لو فيك خير اخذوك بنات جماعتك م اعرضت نفسك هنا كنك وحده بايره #ثلاثيني_وسيم_يرغب_بالزواج,3
113,انا متله متبرجة من سنة ويقدم ان شاءالله,3
114,شفيها لو طرشتي واتس تسولفين شوي مب لاازم فون مال ساعتين ترا مب كل الحريم لهن بارض هالكثر يسولفن والله,3
115, لا حلوين الحريم استاذ علي,0
116, لقد قتلوه بخسه وغباء وحقاره ووضاعه وبالتأكيد تألم انه قتل علي ايدي اقذر اهل الارض وبأمر من خنزير,0
117,والله هدف ما يدخل في فريق فئات سنية.. هدف ساذج يا خنازير,3
118,خنازير البغدادي يتبنون العمليه مساء أمس..,0
119,عندما يختلط بول البعير ببول الحمير ففعل ما شئت . فقد رفع عنك القلم!!!,3
120, ممكن تبقي بايرة و نعمل جروب عوانس سواا؟؟,0
121,   خنزير اكتروني  ,3
122,فيه نوعية كلاب مسعورة هذه نظرتها في كل مجتمع وكل دولة,3
123,   تحتاج ان تفهم مشكلة اليمن اولا وبعدها نقدر نتكلم معك لا تنجرف مع خنازير الخنزيره,3
124,  خنازير انجاس وخرفان اللهم انصر اخواننا بالسعودية وأهلنا بمصر عليهم يارب العالمين وتحيامصر تحيامصر تحيامصر,1
125, ي بول البعير شنو يعني عبد !!!,3
126,  تخلف يا شاربي بول البعير,1
127,حكومتنا باعت المواطنيين وشرت خنازير الجزيرة الي شوهوا سمعة القطري وبلادنا أمام العالم والعجيب يتكلمون بسمنا ونعطيهم فلوس,0
128,سؤال #منا_وجر اذا كانت الضحية بتتحمل مسؤولية التحرشالاغتصاب,3
129,متتزوجيش و تعيشي الحياة بدون مايقولو بايرة و مسكينة,2
130,"ياجماعه موضوع استعمال مزيلات العرق دا ، موضوع هادف و مثمر اكتر من التحرش ، والله محتاجين نتكلم فيو اكتر من اي حاجه…  ",0
131,بس وش اسوي لك إذا انتي مهبوله ولسانك وسخ يالوسخه,3
132,  بتاع بول البعير بيصرفوا عليك وعلى اهلك وعلى بلدك وعلى حكومتك وانت تبيع اللي وراك وقدامك عش…  ,1
133,متحنش لحد باعك يا وسخ,3
134,كرم عويس أقامت مأدبة عشاء لزملائها في قناة الخنزيرة اعتقدوا كون والدها يعمل بالجيش الإسرائيلي تعود على أكل اليهود ف…  ,2
135,"قدم نادي القانون بالتعاون مع مركز الدراسات الجنائية محاضرة بعنوان #التوعية_بنظام_مكافحة_التحرش ، ألقتها د.سحر الهبد…  ",0
136,#في_بلادك_تقدري تكملي قرايتك وتخدمي وما يعايروكش على انك ما تزوجتيش وما يقولولكش بايرة ولا عانس ولا مسكينة لازم رجل…  ,0
137,  ايضا الشريف المرتضى في كتابة (الإنتصار) أباح شرب بول البعير بقوله [شرب بول ما يؤكل لحمه]…  ,0
138,هو بول البعير والكبسة يوصل لكدة,3
139,يارجال التحرش بقى الكتروني كوني اقول ليك منقا او اقول ليك بيبي ده يعتبر تحرش الى ان ياتي مهند شاد اوغلو فيصبح غزلا,3
140,أيد قادة الاتحاد الأوروبي الأسبوع الماضي بداية مفاوضات رسمية مع النظام المصري حول أزمة اللاجئين. هدف المفاوضات هو ا…  ,0
141,   مجموعه خونه مطرودين من اوطانهم ولقو خنزير ابن خنزير ذميم يضفهم الشرهه على الرأس الكبير…  ,1
142,تكشف المرأة سبب التحرش!…,1
143,"يبدو أنّك تحت تأثير بول البعير ، وقد تعفّن رأسك، حتّى صرتَ لا تفقه شيئاً في هذه الدّنيا، ولا تدري مالّذي يدور حوالي…  ",3
144,ماساكتاش.. هل ستقي الصافرة المغربيات شر التحرش؟  ,2
145,لعنكم الله يا خنازير ايران #الحوثي_ينتهك_القانون_الدولي,1
146,ويهربون خنازير الوهابية الذين فجروا فنادق بيروت يا فرخ.  ,1
147,في 2012 خلال مباراة الفريقين قامت جماهير ريفر بليت بإطلاق خنزير طائر يرتدي قميص البوكا فوق جماهير بوكا جونيورز  ,0
148, ياخى اوسخ شعوب الدنيا السودانيين,1
149,طب امنعو التحرش الاول  #ضد_منع_النقاب,0
150,رايحة بايرة بعمق ونلصق ع فيتامين دال,3
151,"تحمل اللاجئون السوريون شدة البرد والحر، لكن تواجد داعش الذي خرب حياتهم فلم يستطيعوا تحمله.  ",0
152,  قال الشيعه الصفوين الروافض الاباضيه الاباضيه الاباضيه أنت ينجس يطقعه تتوضا بول البعي…  ,1
153,  اليمن مرمطة بسعودية وهي بدون سلاح مابالك بايران وهيا دوله مصنعه باتخلي الخونة أمثل…  ,3
154,  والله اني في صنعاء وجنب المطر يا خنازير,3
155,  انت رجاع خود جرعة من بول البعير ولا تدخل بيناتنا يا زق,3
156,إن هؤلاء الإمعات الذين يخرجون على شاشات التلفزة باسم معارضين و ثوار و هم لم يذوقوا من مرارة العيش في سوريا و حصار ا…  ,0
157,أول مسلمتين في #الكونغرس_الأميركي - امريكا تتقدم و العربان يتبعون مسار بول البعير  ,3
158,بلاغ ضد هؤلاء الوافدين من الجالية #الروهينجا البنغال المتواجدين في مكة المكرمة و يتواصلون مع خنزير لندن سعد الفقيه.…  ,1
159,عرفت اليوم ليش سيئ طلع ذكرى ميلاد خنزير البرتغال,1
160,من هو العربي الحُر الاصيل اللذي يرضى بأن يحمكه في أرضه مجوسي فارسي خنزير !؟,0
161,"  اذا كان الخنزير  نتانياهو في الاردن و ثم في تركيا و عمان و يجتمع مع سعوديين، فلا يزال الخنزير خ…  ",1
162,من أعظم ماقيل عن قضيه التحرش من باسم يوسف  ,0
163,ليس لدي شك أن تنظيم عيال فطيمة خنازير الخمارات العبرية المتحدة متورطين في #قضية_خاشقجي بريطانيا كشفت الأمر وهددتهم…  ,1
164,  انتم سبب دمار الدول وتخلفها يا شاربي بول البعير .ايران قريبه منكم يا جبنإ,1
165,  دراعه كان مصاب ياشارب بول البعير,3
166,سوبر ايه ي عم..... كاس افريقيا اهم,0
167,    أني عراقي تاج على راسك يابدوي يا شارب بول البعير.,3
168,   اشرب بول البعير وتعال,2
169,ترى حتى الحريم عندهم شنبات بس شايلات ليزر,0
170,في خنزيره تزوجت خنزير وجابو عيال خنازير,2
171,كف   كموم     زنود  ثوبك    يدك ادخله    حان  وقت    اصلا    دود    علي  فران  هندوس,1
172,  فئة خنازير,1
173,  حاشا ..انتم مملكة بول البعير,3
174,هنعلم الناس تحترم المرأة المتعلمة الغير متزوجة ومتهينهاش بألفاظ زي بايرة بإننا نهين المرأة اللي بتربي العيال ونطلعه…  ,2
175,  هدي اعصابك واشرب من بول البعير العراقي,3
176,ساقو الحريم وللحين ماسقت,3
177,"لما تيجي تتخانق مع خنزير متتخانقش معاه علي الخره، عشان كدا انت هاتتوسخ و هو هايتبسط.",1
178,شنو في الحريم صارت خدودهم چنهم مجمعين قات وبراطمهم بعد ونظرة العيون على كتر ... بس بقولوكم چنكم البطة تويتي منظركم…  ,0
179,   لعنكم الله يا قردة ويا خنازير . عفحرة اعملوا فحص ل dna  بتعرفوا شو اصولكم يا قرود,3
180,  مشاكل الجاليات  البورماوية و السوريين و اليمنة و الأفارقة  في بلدنا تتفاقم ولم نسمع بحل جذري  لهم,0
181,  واحد يقول ليش سامي يكلم وحدة متبرجة ويضحك بعد ...,3
182,وبخصوص كلمتك دول خنازير مايمشو الا با…  ,2
183,قاعدين ناخذ قصيده عن قد ايش الحريم تافهات عشان واحد كتب قصيده بقصه صارت زمان صدق ان في واحد كان يكره حرمه وجلس يخطط…  ,2
184,يستحسن ان يطلق عليه ابو  الدعاره  والعاهرات  خنزير تركيا   هذا اللقب يناسبه جدا  ,3
185,انتشرت ظاهرةالتحرش بالفتيات لتصبح هاجساًيرعب الآباءعلى بناتهن وخوفاًيصيب الفتيات نتيجةمايتعرضن له من إيذاء جسدي ونف…  ,0
186,: [  تسمي التعاون مع الي قتلو نص مليون شهيد سوري قوه يا صرصور مو اسمها قوه اسمها خيانه ووساخه يا وسخ,1
187,نحنُ اللاجئون الوحيدون في أرضٍ خلقها الله حُرة فاستعبدوها بالقيود نحنُ الحبُ الحقيقي في أرضٍ تُحب الأجساد قبل القلوب..,0
188,مشكله غيرة الشباب من بعض اخيس من الحريم تف عليك اذا انت من هالنوع,2
189,  ادعسو جماجم خنازير الفرس ادعسوا من غدر بالحسين واليوم يلطمون عليه مثل البهائم,0
190,من الجزائر بلد المجاهدين اكبر خنزير عرفته السعودية هو مح....بن سلمان اللذي يدفع لزوجه وسيده ترانب المليارات والمسلم…  ,3
191,  تركي راحل نجس يكيد مثل الحريم التي ليس لا رجل او لجام من العفه و الحياء و الوقار يربطها,3
192,يوجد بتويتر خنازير,1
193,  لو انها بنت سعوديه يالكلب الخسيس كنت تنابح ضدها متبرجه وكاشفه هههه اما ذي لا كويسه ابوك ياخروف,3
194,   حتى في الدول الغربية ينتشر التحرش وتبرج النساء مساهم كبير في ذلك,0
195,صحبك اب سن مشرومة مجكس؟ — بايره ساي دا  ,3
196,  دول خنازير مش خرفان,3
197,مصادر بالمفوضية : اللاجئون السوريون بحاجة لـ 96 مليون دولار لمواجهة الشتاء   ,0
198,تنرفزوا خنازير ليفربول قاموا يضربون فيه !!!,3
199,ماشايفو قال حاجه غلط حوادث التحرش بتحصل كتير في المجال دا والطبيب في الاخير انسان زينا وممكن يتمادى ف الززل لو لقى…  ,3
200,  خبير الكبتاغون امير من عندكن يا تبع بول البعير,3
201,  نادي القرن لا يحتاج لشاربي بول البعير حتى تكون له شعبية والسعودية أصبحت لا تشرف أي مسلم عربي ب…  ,3
202,جدال بين فتاتين من الجمهور المشارك حول التحرش!,0
203,كل ما ابقى فالمواصلات او فالشارع او حتى فالشغل الحريم والبنات لابسين حتة طرحه ربع…,0
204,وانت بيض الله وجهك والله يستر عليك من خنازير ايران في الكويت .  ,1
205,فرق يوم يكون عندك لاعب يعادل فريق مثل هازارد ثم تروح لفريق اشبه بحظيرة خنازير يا كورتوا,3
206,في بلادي امرأة غير متزوجة تسمى بايرة,0
207,  لا وزعلانه ان عنده كرش ومتزوج كثير مع انه ما سوى شي حرام يافاجره يافاسده متبرجه,3
208,اللاجئون وشبكات التهريب بهدف لم شمل العائلة  ,0
209,والاحصائيات والأرقام المنشورة عن حالات التحرش والاستغلال هذي وش نسميها,0
210,ديوث اختك او امك وتحب تديث,3
211,شرب بول البعير يخلق الهلوسة فااجتنبوه لعلكم تفلحون ههههههههه  ,3
212,صباح الورد و تباً لمجموعة الثمانين  خنزير  ,1
213,مع خنازير إنجلترا كي لا يدربهم #زيدان,2
214,اهنيهم حافظو على شرفهم رغم كثرة التحرش والترويض  ,0
215,   لو كانت متبرجه تلقاها في جميع القنوات أولها القذره ام بي سي,3
216,"دونكم إنكارهم فطرة الرجل عندما يجالس إمرأة متبرجة،فيعدون ذلك طبيعيا ولايفضي إلى محرم!",0
217,    فرض شرعي رباني  ماشغلك البحاسب ربنا حسب كلامك التحرش حرية شخ…  ,3
218,   ههههههههع مصدق نفس هوه الي واجه الجيش العراقي  يا شارب بول البعير ما تسترجي على گولت اخوانا السوريين,2
219,  خنزير المجوس,1
220,للي تصور تبعد عن صور الحريم والصراخ  والله شيء ماهو حلو بحق شاعرنا ولا بكم أبتعدوا عن الصراخ ليش تصرخون.   وشكرا لك…  ,0
221,"  بس مو كلّهم،وحتى احنا عندنا ناس لسانهم وسخ محنا ملائكه",3
222,  لعنكم الله يا خنازير يا ابناء القردة,1
223,  مملكة شاربي بول البعير,3
224,واما بعد الان فقرة التحرش الله يعينه الي تجي عليه عاد بعد ل١٠,0
225,برا يا خنازير يا مخنايث وخذو معكم جونز,3
226,- خنازير هالغرب,0
227,  شف من يحكم رجال يمشي بزوجة متبرجة وتخالط الرجال وتلامسهم وش الرجي من اشكالك خل الرجولة عنك وحم اهلك من الي استعمروك,3
228,مااعرف ليش بعض الحريم تحسس العالم ان الرجال عضو من اعضائها لو نقص ولا ماكان موجود بتجلسين…,3
229,     موكتلك بول البعير مأثر عليك ايران بحدودك روحوا حاربوها ان كنتم رجال,0
230,   تشرفنا يا خنزير .. علي الأقل ننال شرف القضاء علي ارهابي نجس مثلك ونريح العال…  ,1
231,بالعادة المتسعودين المسعورين بيستعملوا المنشار تحت تاثير تناول بول البعير..!!  ,1
232,#غطي_وجهك مفروظ يعاقبونه بقانون التحرش ٥ سنين سجن و٥٠٠ الف ريال غرامه,3
233,  الاغلبيه متبرجه,2
234,"مع إني ضد الشتيمة، بس تركي اَل الشيخ (شوال البطاطا)، ومن يمثلهم، واللي بيدافعوا عنه، وسائر كوكب شاربي بول البعير =…  ",3
235,عىد نسويات خنزير  ,3
236,  واكا غير مسلمه نجيبها هنا متبرجة شبه عاريه ونتفرج فيها نقول غير مسلمة اوووم المرض الي فيكم ياشيخه…  ,2
237,   بول البعير ولا بول المعمم ههههههههههه,2
238,"   اكيد ، شرابين بول البعير في وادي والشعوب الثانيه في وداي اخر",3
239,"يا عرص يا وسخ، معجب بديمقراطية امريكيا، وتلعن من يريد نفس الخيار في بلادك وفي بلدان المنطقة..  ",3
240,٨٠٪ من قضايا #التحرش والأعتداءات الجنسيه على البنات القاصرات  التي وصلتني كان سببها إهمال #الأم وانشغالها بمشاويرها…  ,0
241,جايه بفستانها وتستلم جايزة افضل لاعبة خربوا الكورة الحريم والله,3
242,   يا خنزير  لا  تستعجل.  جايكم الدور  خلينا نربيكم في اليمن ونربي قطر. و…  ,1
243,الأهم من كل ده المطلوب محسبة الجاني ان كان فرد او جماعة مش اكتر ومنقبلش ان خنزير يقول فرض عقوبات علي السعودية ولا ح…  ,1
244,شفت قبل قليل امراة متبرجة و كتبت هذا الكلام على المنديل و خليت العامل يعطي المنديل زو…  ,3
245,"نحن عرب لا نستحي ، تركنا خنازير تحكمنا بلا حياء ، حتى الغوا الإسلام ، وعاثوا في الأرض فسادا،نشروا الرزيلة من المحيط…  ",3
246,ما تفكر كل الناس متلكم يا شاربي بول البعير,1
247,بعد ازدياد نسبة التحرش في السنوات الأخيرة.. العراق يدرس قانونا لنشر قاعدة بيانات تتضمن أسماء المتحرشين فيما اعتبره…  ,0
248,شغل الحريم بلاش منه .,3
249,لم تكوني بتتونسي مع صحباتك وهم متزوجات وانتي بايره   ,2
250,"حوادث التحرش تحدث كثيراً في السودان وغيره، مسارها الطبيعي أن يتجه الطرفان إلى القانون وأحياناً تأخذ الفتاة حقها في…  ",0
251,خنازير الارض طلعوا من الكاس هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,2
252,ويجيك رافضي بهيم ويقلك سيدنا عمر كسر ضلع فاطمه  وسيدنا علي يتفرج  غيره سيدنا علي من السواك  علي فاطمه مابالك احد يكسر ضلع زوجته.,3
253,"تحمل اللاجئون السوريون شدة البرد والحر، لكن تواجد داعش الذي خرب حياتهم فلم يستطيعوا تحمله.   ",0
254,مشعل السديري - شعرة من جلد خنزير  ,2
255,     ياخنازير ياكلب ههههههههه خنازير,3
256,شاهد: صاحب فيديو التحرش بفتاة التجمع في مصر يستفزها بفيديو يخرجها عن صمتها.. وترد: المنتقبة بيتحرشوا بيها  ,3
257,  زي الكلاب تنزلون التغريده وودي اشوف وجيهكم وانتم تنزلونها ابو من جمعكم خنازير,2
258,    عايزه تخصى العالم كله عشان متجوزتيش يا بايره,1
259,نصيحة لكِ..بلاش تعملي ريتويت لواحدة متبرجة او حطه صورة متبرجة.,3
260,   في الدول المتقدمة و الي تقدر الحريات هذا الشي فخر اما عن دول البهائم و بول البعير و لار…  ,3
261,   احب اقوليك م ضروري تكوني متبرجه عشان بتحرشو بيك....  طب ليه المنقبات نقاب اسلام…  ,3
262,عرفتوا يا خنازير ليه مش بديكم اهتمام,2
263,انها مثلت وعرضت قضية للعالم وانه الحلقة هادفة عادي!! التحرش كمان على مواقع التواصل الاجتماعي وهاي اكبر مثال  ,3
264,انك تبقي متمسك بحاجه انت عارف انها بتأذيك و الكل بيقول سيبيها و محدش فاهم قد ايه دا صعب فعلا..  ما احنا مش هندوس عل…  ,0
265,  اللهم ذل خنازير آل سعود واخسف بهم الارض,1
266,  اردوغان يعلم انه من تلاميذ المدرسة الخمينية المجوسية   ولكن متى يستيقظ خنازير العرب الاخونج…  ,1
267,#عباس_يمثل_نفسه محرف سورة الفيل الاخوانجي الفاسد احمد بحر هو من يمثل خنازير حماس  ,2
268,يعني التحرش حرااااااام,2
269, كسمك علي كسمه ياتيمور مصر ياشرموط فيها 100 مليون علي الاقل 80 مليون عايشين احسن من احسن خنزير بيشرب م…  ,2
270,"  خنزير همك ،،،،،،،،،،،،،،بالغدر والتخابر",1
271,  مع الايام بتقول يحق لهم التحرش بالبنت اللي جالسه ببيتها ليش جالسه,3
272,ههههههههههههههههههههههههههههههههههههههههههههههههههه صباح اليوم صار موقف سخييييف ي غيره الحريم ي خي خلاص خليه يكلم ط…  ,0
273,أنا لو ارتبط بواحد وخلاص بنفركش اهو وايا كان مين فينا الغلطان *اذا ماكانش وسخ يعني* ف انا هقتله قبل ماامشي علشان از…  ,0
274,"  راعي خنازير الله يعز البل،،",3
275,   بول البعير انظف منكم ومن نواياكم خلك ببلدك شيلو قمامتكم قبل ترمونها لغيركم   ,3
276,    لم اشتم الا اعداء #وطني خنازير #الفرس ولي الشرف بذالك في حال بادر بذالك…  ,1
277,   هذا لو هم رجال ... هذولي قرود و خنازير,3
